high,kesai_angle,beta_angle,alpha_angle,decare_x,decare_y,decare_z,velocity_x,velocity_y,velocity_z,VarName17,VarName18,acceleration_x,acceleration_y,acceleration_z,palstance_x,palstance_y,palstance_z,center_x,center_y,center_z
108.6761388,34.2406587,357.413,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.02,0.0062,-0.0036,0.0023,0.000409,-0.004557,0.002771,0.961629432744979,-1.70162028788801,0.0628809555690809
108.6761388,34.2406587,357.413,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.021,0.006,-0.0038,0.0023,0.000409,-0.004557,0.002771,0.961139245731707,-1.70115710914634,0.0628715951219512
108.6761388,34.2406587,357.413,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.021,0.006,-0.0038,0.0023,0.000101,-0.004655,0.002467,0.961826018292683,-1.70156930060976,0.0626816774390243
108.6761388,34.2406587,357.404,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.021,0.006,-0.0038,0.0023,0.000101,-0.004655,0.002467,0.961821836982968,-1.70135142153285,0.0628452901459854
108.6761388,34.2406587,357.404,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.021,-0.0045,0.0072,0.0119,0.000247,-0.002999,0.002446,0.961494385879489,-1.70133278393183,0.0627216421180767
108.6761388,34.2406587,357.395,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.021,-0.0045,0.0072,0.0119,0.000247,-0.002999,0.002446,0.961751718464351,-1.70182206946984,0.0630477940280316
108.6761388,34.2406587,357.395,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.021,0.0059,0.0072,-0.0075,0.000282,-0.002634,0.002446,0.961876034692636,-1.70158125197809,0.0626698460133901
108.6761388,34.2406587,357.386,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.021,0.0059,0.0072,-0.0075,0.000282,-0.002634,0.002102,0.961483792199878,-1.70124667093236,0.0626622309567337
108.6761388,34.2406587,357.386,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.022,-0.0047,-0.0036,-0.0075,0.000282,-0.002634,0.002102,0.961700806707317,-1.70170302439024,0.0627793884146341
108.6761388,34.2406587,357.386,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.022,-0.0047,-0.0036,-0.0076,-0.000262,-0.003315,0.002679,0.961232720731707,-1.70160999329268,0.0628880195121951
108.6761388,34.2406587,357.376,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.022,-0.0047,-0.0036,-0.0076,-0.000262,-0.003315,0.002679,0.961702339013999,-1.70148056542909,0.0630739300060864
108.6761388,34.2406587,357.376,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.022,0.006,-0.0037,-0.0073,-0.00024,-0.002984,0.002494,0.961666497261108,-1.70175086548996,0.062691710286062
108.6761388,34.2406587,357.367,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.023,-0.0047,-0.0037,-0.0073,-0.00024,-0.002984,0.002494,0.961802206938527,-1.70175530979915,0.0626256372489348
108.6761388,34.2406587,357.367,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.023,-0.0047,-0.0038,0.0023,-0.000305,-0.004119,0.002665,0.961674907373553,-1.70152154600853,0.0629000054844606
108.6761388,34.2406587,357.358,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.023,-0.0047,-0.0038,0.0023,-0.000305,-0.004119,0.002665,0.961452744667885,-1.70150498171846,0.0626359335770871
108.6761388,34.2406587,357.358,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.022,0.0063,-0.0039,-0.017,-0.001724,-0.002845,0.002701,0.961711283973187,-1.70145894332724,0.06278511456429
